Model Name,Dataset,Language,Source Sentence,Translation,Reference Sentence
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,"However, Tenuk and Kayel quickly realized they weren't alone. A second dark creature shot out from beneath them, and Tenuk only just managed to avoid a collision.","Men Tenuk og Kayel innså raskt at de ikke var alene. En andre mørk skapning sköt ut under dem, og Tenuk klarte bare å unngå en kollision.","Tenuk og Kayel innså raskt at de ikke var alene. En ny mørk skapning skjøt ut under dem, og Tenuk greide så vidt å unngå en kollisjon."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,"Tenuk hesitated, then stepped back, giving himself some space. With a low, slightly pained grunt, Tenuk's body stretched out, his fur replaced with scales and his arms replaced with wings. He quickly turned himself into a normal, light blue Thraki, but his eyes remained red.","Tenuk tvilte, så steg tillbaka, vilket gav sig lite utrymme. Med en låg, lite smertefull grynt, Tenuks kropp utsträckt, hans päls erstatt med fjäll och hans armar erstatt med vingar. Han förvandlade sig snabbt till en normal, lyseblå Thraki, men hans ögon forblev röda.","Tenuk nølte og gikk litt tilbake for å gi seg selv litt plass. Med et lavt, litt smertefullt grynt strakk Tenuks kropp seg ut, pelsen hans ble erstattet av skjell, og armene hans erstattet med vinger. Han gjorde seg raskt om til en normal, lyseblå thraki, men øynene hans forble røde."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,"They wondered if she would actually let them enter, unlike the previous times they went to ask. I still have a bruise from the last time. Ivory chuckled from the memory. Kari had thrown a book at their shoulder, but when she saw who it was, she apologized immediately.","De lurte på om hun faktisk ville la dem komme inn, i motsetning til de tidligere gangene de gikk for å spørre. Jeg har fortsatt en blåmerke fra sist gang. Elfenben chuckled fra minnet. Kari hadde kastat en bok på skulderen, men da hun så hvem det var, bad hun om ursäkt med det samme.","De lurte på om hun faktisk ville la dem komme inn, i motsetning til da de hadde spurt tidligere. Jeg har fortsatt et sår fra den gangen. Ivory lo av minnet. Kari hadde kastet en bok på skulderen deres, men da hun så hvem det var, beklaget hun øyeblikkelig."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,"The ESP didn't go online immediately, let's give it a few minutes.","ESP gick inte online omedelbart, låt oss ge det några minuter.","ESP ble ikke tilkoblet umiddelbart, la oss vente et par minutter."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,"Ignacio Sánchez Recarte, secretary general of the Comité Européen des Entreprises Vins trade association representing some 7,000 wine producers across Europe, is dismissive of the concerns of the beer makers. He told Euronews that a market dominated by multinational brewing conglomerates bears no comparison with one comprised almost entirely of small, domestic producers.","Ignacio Sánchez Recarte, generalsekreterare i Comité Européen des Entreprises Vins, som företräder omkring 7000 vinproducenter i Europa, avfärdar ölproducenternas farhågor. Han sa till Euronews att en marknad som domineras av multinationelle bryggerikonglomerater, inte kan jämföras med en som består nästan helt av små, inhemska producenter.","Ignacio Sánchez Recarte, generalsekretær i bransjeorganisasjonen Comité Européen des Enterprises Vins, representerer omkring 7000 vinprodusenter i Europa og avviser bekymringene fra ølprodusentene. Han sier til Euronews at et marked dominert av multinasjonale storkonsern ikke kan sammenlignes med et marked som nesten bare består av små, innenlandske produsenter."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,@user4 @user3 @user5 @user6,@user4 @user3 @user5 @user6,@user4 @user3 @user5 @user6
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,"Judging by the state of our hospitals, the SNP's talk of recovery plans and action plans is simply that - talk, and dangerous talk at that. We must not allow incompetent politicians to lull us into complicity in the demise of that great British institution, the National Health Service.","Att döma av tillståndet på våra hospitaler, SNPs tal om återhämtningsplaner och handlingsplaner är helt enkelt det - prat, och farligt prat på det. Vi får inte låta inkompetente politikere invagga oss i medskyldighet i den stora brittiska institutionens, National Health Service, undergång.","Hvis man skal dømme etter tilstanden på sykehusene våre, er SNPs snakk om utbedringsplaner og handlingsplaner bare det – snakk, og farlig snakk til og med. Vi må ikke la inkompetente politikere lure oss til å bli medskyldige i forfallet til den flotte britiske institusjonen, National Health Service."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,🚨 breaking news:,breaking news:,🚨 Siste nytt:
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,This song is encapsulates my predicament…,Den här låten er encapsulates min predicament...,Denne sangen er problemet mitt i et nøtteskall ...
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,Both the old and the new Listing titles call it a 12V 10W panel.,Både den gamla och den nya Listing titlar kallar det en 12V 10W panel.,Både de gamle og nye spesifikasjonene kaller det er 12 V 10 W-panel.
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,"Isn’t that funny? We have half the manpower left, and we can’t even refrain from hurting one another. I hastily sped up, Al’s was around the corner, so I would be fine inside. A glance behind me ensured that I was no longer being tailed as I stood in front of a bright glowing sign that read, “Alborn’s Pawnshop!” With slower steps, I entered once again–this place was more under the cover, as Alborn would often take in people who’d been mutated and snuck into Paltricus. Upon opening the door, the lights had been shut off, interestingly enough–there was no Al. No refugees. Nothing. Something wasn’t right here.","Er det ikke morsomt? Vi har halva arbetskraften kvar, og vi kan inte ens avstå fra å såre hverandre. Jeg skyndte mig, Al's var runt hörnet, så jag ville ikke ha det bra inne. En blick bakom mig säkerställde att jag inte längre var tailed som jeg stod foran en lysende skylt som læste, ""Alborn's Pawnshop var nok!"" Med langsommere steg, jeg kom inn igen.","Er det ikke rart? Vi har halve arbeidsstyrken igjen, og vi greier ikke å unngå å skade hverandre likevel. Jeg økte farten, AI`s var rett rundt hjørnet, og jeg var trygg på innsiden. Med et lite gløtt bak meg forsikret jeg meg om at jeg ikke lenger ble skygget, idet jeg stod foran en lyst, glødende skilt med teksten «Alborn`s Pawnshop!». Med langsommere skritt nærmet jeg meg nok en gang – dette stedet var mer skjult, siden Alborn ofte tok inn folk som hadde blitt mutert og sneket seg inn i Paltricus. Da jeg åpnet døren, var lysene slått av, men interessant nok var det ingen Al. Ingen flyktninger. Ingenting. Det var noe som ikke stemte."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,These good quality stickers are about 50p each. They'll cost the same again to post. And way more in my own time to individually package and send them.,Dessa god kvalitet klistermärken är ca 50p varje. De kommer att kosta det samma igen för att posta. Och mycket mer i min egen tid att individuellt paketera och skicka dem.,Disse klistremerkene av god kvalitet koster rundt 7 kr hver. De vil koste det samme å postlegge. Og mye mer av min egen tid å pakke og sende dem enkeltvis.
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,So the challenges in this are already showing themselves. I'm likely going to have a VERY difficult time getting a medical clearance due to the FAA's stance on certain medications.,Så utmaningarna i detta visar sig allerede. Jag kommer sannolikt att ha en mycket svår tid att få en medicinsk clearance på grund av FAA: s inställning till vissa mediciner.,Utfordringene med dette viser seg allerede. Det vil med stor sannsynlighet bli VELDIG vanskelig for meg å få en medisinsk tillatelse på grunn av FAAs holdninger til visse medisiner.
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,And just under the wire basically someone actually beat Trimming the Herbs! Really impressive.,Och precis under ledningen i princip någon faktiskt slå Trimming the Herbs! Verkligen imponerande.,Og i siste sekund var det noen som faktisk klarte Trimming the Herbs! Utrolig imponerende.
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,Yea so I flew this today.,Yea så jeg fløj denne i dag.,"Ja, så jeg fløy denne i dag."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,"So my dad can't give me rides to work. And for me, work is about 27 miles away. So there and back would be nearly a $100 a day with Uber. I haven't looked at Lyft. I could have, I guess, that makes sense. But I didn't have rental on my auto insurance, so that's my fault. So I guess I could have tried to do that and get that set up and tried to get a rental while I was down and out of a car. But even then, a rental wouldn't cover seven days. I'm going to sneeze, hold on. That sneeze sucked.","Så min pappa kan inte ge mig rider till jobbet. Och för mig, arbete är ca 27 miles away. Så det och tillbaka skulle vara nästan en $ 100 om dagen med Uber sn. Jag har inte tittat på Lyft. Jag antar, det er logiskt. Men jeg har inte hyra på min bil forsikring, så det er min skyld. Så jeg antar at jeg kunne ha försökt att göra det og få det satt upp och försökte få en bil ut.","Så faren min kan ikke kjøre meg til jobb. For meg er jobben ca. 27 miles unna. Så turen dit og tilbake ville nesten blitt 100 USD om dagen med Uber. Jeg har ikke sjekket Lyft. Jeg kunne vel ha gjort det. Det gir mening. Men jeg hadde ikke utleie på bilforsikringen min, så det er min feil. Jeg antar at jeg kunne ha prøvd å gjøre det og fått det på plass og prøvd å få meg en leiebil mens jeg var deppa og uten bil. Men selv da ville ikke en leiebil ha dekket syv dager. Jeg må nyse, vent litt. Det var en elendig nys."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,Saturday Cont:,Lørdag Cont:,Lørdagskonkurranse:
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,"Rosendale, a member of the hard-right Freedom Caucus, was one of the individuals who derailed the Wednesday votes. He views the top line number in Johnson's deal as being too high and as doing too little to cut the $34 trillion national debt.","Rosendale, medlem av den hard-right Freedom Caucus, var en av de personer som spårade onsdagsrösterna. Han ser topplinjen i Johnsons affär som för hög och som gör for lite för att minska den $ 34 biljoner statsskulden.","Rosendale, medlem av Freedom Caucus ytterst på høyrefløyen, var en av personene som sporet av under onsdagens stemming. Han anser topplinjetallet i Johnsons tilbud for å være for høyt, samt at det bidrar for lite til å kutte den nasjonale gjelden på 34 billioner amerikanske dollar."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,"South Wales four-piece The Now are proud to release their debut album, Too Hot To Handle, via True Music, and Callum joins me now. How are you doing, Callum? How's it going? Yeah, all good. Good, yourself? Yes, I'm very good. Thank you. It's a privilege to speak to yourselves because I've been listening to your music quite a lot since 2023. So I'm just loving the music, and I think it's something that we definitely need in the charts these days.","South Wales fire-piece The Now er stolte over at frigive deres debutalbum, Too Hot To Handle, via True Music, og Callum slutter sig til mig nu. Hvordan har du det, Callum? Hvordan går det? Ja, alt bra. Bra, selv? Ja, jeg er veldig bra. Tak. Det er et privilegium å snakke med dere fordi jeg har lyttet til din musik en hel del siden 2023. Så jeg tror bare at vi elsker det charts i musikken.","Firemannsbandet The Now  fra Sør-Wales er stolte over å lansere debutalbumet sitt, Too Hot To Handle, via True Music, og Callum er med meg her. Hvordan går det, Callum? Alt bra? Ja, alt bra. Hva med deg? Jo, jeg har det veldig bra. Takk. Det er et privilegium å snakke med dere, siden jeg har hørt mye på musikken deres siden 2023. Jeg elsker musikken, og jeg tror det er noe vi definitivt trenger på listene i disse dager."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,"The results are in and, drum roll, please, it's completely consistent with my family history. 89.9% British and Irish with most of that concentrated in the scottish borders, western Ireland, Wales, and cornwall. It doesn't show much breton tho so either they're so close to cornish they don't show as different in me or my breton family wasn't originally from there.","Resultaterne er i og, trumvirvel, vær så snill, det er helt i overensstemmelse med min familiehistorie. 89,9% britisk og irsk med det meste av det koncentreret i de skotske grensene, västra Irland, Wales, och cornwall. Det viser ikke mycket breton tho så antingen de är så nära cornish de ikke viser så olika i mig eller min breton familie var ikke opprinnelig derfra.","Resultatene er her og, trommevirvel takk, det er helt i samsvar med familiehistorien min. 89,9 % britisk og irsk med mesteparten konsentrert på skotskegrensen, Vest-Irland, Wales og Cornwall. Det viser ikke mye bretagnsk dog, så enten er de så nær Cornwall at de ikke vises som forskjellig hos meg, eller så var ikke min bretagnske familie opprinnelig derfra."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,"Secondly, synesthesia is about — and this is what gets me to my point about the main theme of this lecture, which is about creativity — synesthesia is eight times more common among artists, poets, novelists and other creative people than in the general population.","For det andra, synestesi handlar om och det er det som får mig till min punkt om huvudtemaet i denna forelesning, som handlar om kreativitet synestesi er åtte ganger vanligare bland artister, poeter, romanförfattare og andre kreative mennesker än i den generelle befolkningen.","For det andre er synestesi omtrent — og dette bringer meg til poenget til hovedtemaet i denne forelesningen, som handler om kreativitet — synestesi er åtte ganger vanligere blant kunstere, poeter, forfattere og andre kreative mennesker enn i resten av befolkningen."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,"C sharp is blue, F sharp is green, another tone might be yellow, right?","C sharp er blå, F sharp er grønn, en annan tone kan være gul, ikke?","Ciss er blå, fiss er grønn, en annen tone kan være gul, sant?"
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,"You can still recognize them from their voice and say, """" Oh yeah, that's Joe, """" but you can't look at their face and know who it is, right?","Du kan fortfarande känna igen dem fra deres stemme og si, """"Åh ja, det är Joe, """" men du kan ikke se på ansiktet og vet hvem det er, ikke sant?","Man kan fremdeles kjenne igjen folk på stemmen og si, åja, det der er Joe, men man kan ikke se på ansiktet deres og vite hvem det er, sant?"
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,Thank you.,Tack så mycket.,Takk.
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,We would never do it.,Vi skulle aldrig göra det.,Vi ville aldri gjort det.
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,"If you had gotten five, this dinner would have been a lot more interesting. """" (Laughter) There is now a kind of sleep deprivation one-upmanship.","Om du hade fått fem, ville den här middagen ha varit mycket mer intressant. """" (Latter) Det finns nu en slags søvnberøvelse one-upmanship.","Hvis du hadde fått fem, hadde denne middagen vært mye mer interessant. """" (Latter) Det finnes en ny form for søvnmangel der ute rivaliseringskultur."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,"And I know many people who are at the bottoms of organizations who have no authority and they are absolutely leaders, and this is because they have chosen to look after the person to the left of them, and they have chosen to look after the person to the right of them.","Och jag känner många människor som är på botten av organisationer som har ingen myndighet, och de är absolut ledare, och det beror på att de har valt att ta hand om personen till vänster om dem, och de har valt att ta hand om personen till höger om dem.","Og jeg kjenner mange mennesker nederst i organisasjonen som ikke har autoritet, men de er helt klart ledere, fordi de har valgt å se etter personen til venstre for dem, og de har valgt å se etter personen til høyre for dem."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,"These are very compelling, vivid sensations.","Disse er meget overbevisende, levende fornemmelser.",Disse fornemmelsene er svært overbevisende og levende.
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,Thank you.,Tack så mycket.,Takk.
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,Why would that be?,Hvorfor skulle det være det?,Hvorfor er det slik?
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,"And this peculiar recursive quality that we call self-awareness, which I think is the holy grail of neuroscience, of neurology, and hopefully, someday, we'll understand how that happens.","Och den besynnerliga rekursive egenskapen som vi kallar självmedvetenhet, som jag tror er den heliga gralen av neurovetenskap, av neurologi, och förhoppningsvis, en dag, kommer vi att förstå hur det händer.","Denne særegne, rekursive egenskapen som vi kaller selvbevissthet, noe jeg mener er den Hellige Gral for nevrovitenskap, for nevrologi, og forhåpentligvis vil vi en vakker dag kunne forstå hvordan det skjer."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,The budget is not always there.,Budgetet er ikke alltid der.,Busjettet er ikke alltid der.
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,"I mean, schizophrenics do that, but it's a different story, right?","- Jeg mener, schizofrener gjør det, men det er en annen historie, ikke sant?","Jeg mener, schizofrene gjør det, men det er noe annet, sant?"
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,"I heard a story of some Marines who were out in theater, and as is the Marine custom, the officer ate last, and he let his men eat first, and when they were done, there was no food left for him.","Jag hörde en historia om några marinsoldater som var ute på teater, och som det är marinens sed, åt officeren sist, och han lät sina män äta först, och när de var klara, var det ingen mat kvar för honom.","Jeg hørte en historie om noen marinesoldater som var ute i feltet, og slik som det er i marinen, spiste offiseren sist, han lot sine menn spise først, og når de var ferdige, var det ikke noe mat igjen for ham."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,"We are also influenced by our nonverbals, our thoughts and our feelings and our physiology.","Vi påverkas også av våre nonverbals, våra tanker og våre følelser og vår fysiologi.","Vi er også påvirket av våre egne ikke-verbale tegn, våre tanker, følelser og fysiologi."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,"If it's between tone and color, you get tone-color synesthesia.","Om det ligger mellan tonen og färgen, får du tone-farge synestesi.","Hvis det er mellom tone og farge, så får du tone-farge-synestesi."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,Eventually I graduated from college.,Till slut tog jag examen från college.,Til slutt ble jeg uteksaminert fra høyskolen.
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,"Why is it that Mayank, this young boy that I met in India, isn't washing his hands?","Hvorfor vasker Mayank, den här unge pojken som jeg träffade i Indien, ikke händerna?","Hvorfor var det slik at Mayank, denne unge gutten som jeg møtte i India, ikke vasket hendene sine?"
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,And here every piece is very well planned.,Og her er hvert eneste stykke mycket väl planlagt.,Og her er hver brikke godt planlagt.
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,We don't want to prime them with a concept of power.,Vi vill inte prime dem med ett maktbegrepp.,Vi vil ikke vise dem konseptet av makt.
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,"However, Tenuk and Kayel quickly realized they weren't alone. A second dark creature shot out from beneath them, and Tenuk only just managed to avoid a collision.","Men Tenuk och Kayel insåg snabbt att de inte var ensamma. En andra mörk varelse sköt ut under dem, och Tenuk lyckades bara undvika en kollision.",Dock insåg Tenuk och Kayel snabbt att de inte var ensamma. En andra mörk varelse dök upp underifrån och Tenuk lyckades precis undvika en kollision.
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,"Tenuk hesitated, then stepped back, giving himself some space. With a low, slightly pained grunt, Tenuk's body stretched out, his fur replaced with scales and his arms replaced with wings. He quickly turned himself into a normal, light blue Thraki, but his eyes remained red.","Tenuk tvekade, steg sedan tillbaka och gav sig själv lite utrymme. Med en låg, lätt smärtad grymt sträcktes Tenuks kropp ut, hans päls ersattes med fjäll och hans armar ersattes med vingar. Han förvandlade sig snabbt till en normal, ljusblå Thraki, men hans ögon förblev röda.","Tenuk tvekade och tog sedan ett steg tillbaka, för att ge sig själv lite utrymme. Med ett lågt, något smärtfyllt stön, sträcktes Tenuks kropp ut, hans päls ersattes med fjäll och hans armar ersattes med vingar. Han förvandlade sig snabbt till en normal ljusblå Thraki, men hans ögon förblev röda."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,"They wondered if she would actually let them enter, unlike the previous times they went to ask. I still have a bruise from the last time. Ivory chuckled from the memory. Kari had thrown a book at their shoulder, but when she saw who it was, she apologized immediately.","De undrade om hon verkligen skulle låta dem komma in, till skillnad från de tidigare gångerna de gick för att fråga. Jag har fortfarande ett blåmärke från förra gången. Elfenben chuckled från minnet. Kari hade kastat en bok på deras axel, men när hon såg vem det var, bad hon omedelbart om ursäkt.","De undrade om hon verkligen skulle släppa in dem, till skillnad från de tidigare gångerna när de kom för att fråga. Jag har fortfarande ett blåmärke från förra gången. Ivory skrockade åt minnet. Kari hade kastat en bok på deras axel, men när hon såg vem det var, bad hon om ursäkt omedelbart."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,"The ESP didn't go online immediately, let's give it a few minutes.","ESP gick inte online omedelbart, låt oss ge det några minuter.","ESP anslöt inte direkt, vi väntar ett par minuter."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,"Ignacio Sánchez Recarte, secretary general of the Comité Européen des Entreprises Vins trade association representing some 7,000 wine producers across Europe, is dismissive of the concerns of the beer makers. He told Euronews that a market dominated by multinational brewing conglomerates bears no comparison with one comprised almost entirely of small, domestic producers.","Ignacio Sánchez Recarte, generalsekreterare för branschorganisationen Comité Européen des Entreprises Vins, som företräder omkring 7 000 vinproducenter i Europa, avfärdar öltillverkarnas farhågor. Han sade till Euronews att en marknad som domineras av multinationella bryggerikonglomerat inte kan jämföras med en marknad som nästan uteslutande består av små inhemska producenter.",Ignacio Sánchez Recarte avfärdar öltillverkarnas oro. Han är generalsekreterare för branschorganisationen Comité Européen des Entreprises Vins som representerar 7 000 vintillverkare i Europa. Vidare förklarade han för Euronews att en marknad som domineras av multinationella bryggerikonglomerat inte kan jämföras med en som nästan enbart består av små inhemska producenter.
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,@user4 @user3 @user5 @user6,@user4 @user3 @user5 @user6,@användare4 @användare3 @användare5 @användare6
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,"Judging by the state of our hospitals, the SNP's talk of recovery plans and action plans is simply that - talk, and dangerous talk at that. We must not allow incompetent politicians to lull us into complicity in the demise of that great British institution, the National Health Service.","Att döma av tillståndet på våra sjukhus är SNP: s tal om återhämtningsplaner och handlingsplaner helt enkelt det - prat, och farligt prat på det. Vi får inte låta inkompetenta politiker invagga oss i delaktighet i nedläggningen av den stora brittiska institutionen, National Health Service.","Av att döma av tillståndet på våra sjukhus är SNP.s prat om återhämtnings- och handlingsplaner bara just det – prat, och det är farligt prat. Vi får inte låta inkompetenta politiker vagga oss in i medverkan till bortfallet av denna fantastiska brittiska institution, National Health Service."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,🚨 breaking news:,breaking news:,🚨 senaste nytt:
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,This song is encapsulates my predicament…,Den här låten sammanfattar min situation...,Den här låten sammanfattar min besvärliga situation ...
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,Both the old and the new Listing titles call it a 12V 10W panel.,Både den gamla och den nya Listing-titlarna kallar den för en 12V 10W-panel.,I både den gamla och den nya listan har den benämningen 12V 10W-panel.
